,index,Recipients,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By
275,275,B. D. Pande,Uttar Pradesh,Civil Service,V. V. Giri,,,,Uttar Pradesh,Civil Service,K. R. Narayanan
276,276,B. Jayashree,"Karnataka, India",Arts,Pranab Mukherjee,,,,,,
277,277,B. K. Anand,Delhi/India,Medicine,Zakir Husain (politician),,,,,,
278,278,B. K. Chaturvedi,,,,Delhi/India,Civil Service,Pratibha Patil,,,
279,279,B. K. Goyal,Maharashtra,Medicine,Zail Singh,Maharashtra,Medicine,R. Venkataraman,Maharashtra,Medicine,A. P. J. Abdul Kalam
280,280,B. K. S. Iyengar,Karnataka,Literature and Education,R. Venkataraman,Maharashtra,Literature and Education,K. R. Narayanan,Maharashtra,Others,Pranab Mukherjee
281,281,B. K. Thapar,Delhi/India,Literature and Education,R. Venkataraman,,,,,,
282,282,B. L. Deekshatulu,"Andhra Pradesh, India",Science and Engineering,R. Venkataraman,,,,,,
283,283,B. N. Goswamy,Chandigarh,Literature and Education,K. R. Narayanan,Chandigarh,Literature and Education,Pratibha Patil,,,
284,284,B. N. Mukherjee,"West Bengal, India",Others,R. Venkataraman,,,,,,
285,285,B. N. Reddy,,,,"Andhra Pradesh, India",Arts,V. V. Giri,,,
286,286,B. N. Suresh,Kerala,Science and Engineering,K. R. Narayanan,Karnataka,Science and Engineering,Pranab Mukherjee,,,
287,287,B. Palaniappan,"Tamil Nadu, India",Medicine,A. P. J. Abdul Kalam,,,,,,
288,288,B. Paul Thaliath,"Uttar Pradesh, India",Medicine,A. P. J. Abdul Kalam,,,,,,
289,289,B. R. Barwale,,,,"Maharashtra, India",Trade and Industry,K. R. Narayanan,,,
290,290,B. R. Deodhar,"Maharashtra, India",Science and Engineering,Fakhruddin Ali Ahmed,,,,,,
291,291,B. R. Shetty,Philippines,Trade and Industry,Pratibha Patil,,,,,,
292,292,B. Rajam Iyer,,,,"Tamil Nadu, India",Arts,A. P. J. Abdul Kalam,,,
293,293,B. Ramana Rao,"Karnataka, India",Medicine,Pratibha Patil,,,,,,
294,294,B. Ravi Pillai,Bahrain,Trade and Industry,Pratibha Patil,,,,,,
295,295,B. S. Chandrasekhar,"Karnataka, India",Sports,V. V. Giri,,,,,,
296,296,B. Saroja Devi,Karnataka,Arts,Zakir Husain (politician),Karnataka,Arts,R. Venkataraman,,,
297,297,B. Shiva Rao,,,,Delhi/India,Literature and Education,Sarvepalli Radhakrishnan,,,
298,298,B. Sivaraman,,,,,,,"Tamil Nadu, India",Civil Service,V. V. Giri
299,299,B. V. Doshi,Gujarat,Science and Engineering,Fakhruddin Ali Ahmed,Gujarat,Others,Ram Nath Kovind,,,
300,300,B. V. Karanth,"Karnataka, India",Arts,Neelam Sanjiva Reddy,,,,,,
301,301,B. V. Nimbkar,"Maharashtra, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,
302,302,B. V. Raju,Delhi,Civil Service,Fakhruddin Ali Ahmed,Andhra Pradesh,Trade and Industry,K. R. Narayanan,,,
303,303,B. V. Rao,"Andhra Pradesh, India",Trade and Industry,R. Venkataraman,,,,,,
304,304,B. V. Sreekantan,,,,"Maharashtra, India",Science and Engineering,R. Venkataraman,,,
305,305,Baba Amte,Maharashtra,Social Work,V. V. Giri,,,,Maharashtra,Social Work,Zail Singh
306,306,Baba Kalyani,,,,"Maharashtra, India",Trade and Industry,Pratibha Patil,,,
307,307,Baba Sewa Singh,"Punjab, India",Social Work,Pratibha Patil,,,,,,
308,308,Babubhai Maneklal Chinai,,,,"Maharashtra, India",Trade and Industry,Sarvepalli Radhakrishnan,,,
309,309,Babulal Dahiya,"Madhya Pradesh, India",Others,Ram Nath Kovind,,,,,,
310,310,Babulal Patodi,"Madhya Pradesh, India",Public Affairs,R. Venkataraman,,,,,,
311,311,Baburao Govindrao Shirke,"Maharashtra, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,
312,312,Bachendri Pal,Uttar Pradesh,Sports,Zail Singh,Uttarakhand,Sports,Ram Nath Kovind,,,
313,313,Bachubhai Ravat,"Gujarat, India",Literature and Education,Fakhruddin Ali Ahmed,,,,,,
314,314,Bade Ghulam Ali Khan,,,,"Maharashtra, India",Arts,Rajendra Prasad,,,
315,315,Badri Narain Sinha,"Uttar Pradesh, India",Medicine,V. V. Giri,,,,,,
316,316,Badri Narayan,"Maharashtra, India",Literature and Education,Zail Singh,,,,,,
317,317,Badri Nath Prasad,,,,"Uttar Pradesh, India",Literature and Education,Sarvepalli Radhakrishnan,,,
318,318,Badri Nath Tandon,,,,Delhi/India,Medicine,Zail Singh,,,
319,319,Badri Prasad Bajoria,"Uttar Pradesh, India",Social Work,V. V. Giri,,,,,,
320,320,Bagicha Singh Minhas,,,,Delhi/India,Science and Engineering,A. P. J. Abdul Kalam,,,
321,321,Bahadur Singh Chouhan,"Jharkhand, India",Sports,Zail Singh,,,,,,
322,322,Bahadur Singh Sagoo,"Punjab, India",Sports,A. P. J. Abdul Kalam,,,,,,
323,323,Bajrang Lal Takhar,"Rajasthan, India",Sports,Pranab Mukherjee,,,,,,
324,324,Bajrang Punia,"Haryana, India",Sports,Ram Nath Kovind,,,,,,
325,325,Bakul Harshadrai Dholakia,"Gujarat, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
326,326,Bal Dattatreya Tilak,,,,"Maharashtra, India",Science and Engineering,V. V. Giri,,,
327,327,Bal Krishna Sharma Naveen,,,,Delhi/India,Literature and Education,Rajendra Prasad,,,
328,328,Bal Raj Nijhawan,Spain,Science and Engineering,Rajendra Prasad,,,,,,
329,329,Bal Ram Nanda,,,,Delhi,Literature and Education,R. Venkataraman,Delhi,Literature and Education,A. P. J. Abdul Kalam
330,330,Bal Samant,"Maharashtra, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
331,331,Bala V. Balachandran,Bahrain,Literature and Education,K. R. Narayanan,,,,,,
332,332,Balachandra Menon,"Kerala, India",Arts,A. P. J. Abdul Kalam,,,,,,
333,333,Balagangadharanatha Swamiji,,,,"Karnataka, India",Social Work,Pratibha Patil,,,
334,334,Balai Chand Mukhopadhyay,,,,"Bihar, India",Literature and Education,Fakhruddin Ali Ahmed,,,
335,335,Balakrishna Bhagwant Borkar,"Goa, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,
336,336,Balasaheb Bharde,,,,"Maharashtra, India",Social Work,K. R. Narayanan,,,
337,337,Balasaheb Gangadhar Kher,,,,,,,"Maharashtra, India",Public Affairs,Rajendra Prasad
338,338,Balasaheb Vikhe Patil,,,,"Maharashtra, India",Social Work,Pratibha Patil,,,
339,339,Balasaraswati,,,,Tamil Nadu,Arts,Rajendra Prasad,Tamil Nadu,Arts,Fakhruddin Ali Ahmed
340,340,Balasubramaniam Ramamurthi,Tamil Nadu,Medicine,V. V. Giri,Tamil Nadu,Medicine,Fakhruddin Ali Ahmed,,,
341,341,Balasubramanian Muthuraman,,,,"Maharashtra, India",Trade and Industry,Pratibha Patil,,,
342,342,Balbir Dutt,"Jharkhand, India",Literature and Education,Pranab Mukherjee,,,,,,
343,343,Balbir Singh Kullar,"Punjab, India",Sports,Pratibha Patil,,,,,,
344,344,Balbir Singh Seechewal,"Punjab, India",Social Work,Pranab Mukherjee,,,,,,
345,345,Baldev Raj,"Tamil Nadu, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,
346,346,Baldev Singh Dhillon,"Punjab, India",Science and Engineering,Ram Nath Kovind,,,,,,
347,347,Baldev Upadhyaya,,,,"Uttar Pradesh, India",Literature and Education,Zail Singh,,,
348,348,Balendu Prakash,"Uttarakhand, India",Medicine,K. R. Narayanan,,,,,,
349,349,Balraj Komal,Delhi/India,Literature and Education,Pratibha Patil,,,,,,
350,350,Balraj Puri,,,,Jammu & Kashmir/India,Literature and Education,A. P. J. Abdul Kalam,,,
351,351,Balraj Sahni,"Punjab, India",Arts,Zakir Husain (politician),,,,,,
352,352,Balram Bhargava,"Uttar Pradesh, India",Medicine,Pranab Mukherjee,,,,,,
353,353,Balswarup Choubey,"Maharashtra, India",Medicine,Pratibha Patil,,,,,,
354,354,Balu Sankaran,– [A],Medicine,V. V. Giri,,,,Delhi,Medicine,A. P. J. Abdul Kalam
355,355,Balwant Gargi,Chandigarh/India,Literature and Education,V. V. Giri,,,,,,
356,356,Balwant Thakur,Jammu & Kashmir/India,Arts,Pranab Mukherjee,,,,,,
357,357,Balwantrai Bhatt,"Uttar Pradesh, India",Arts,R. Venkataraman,,,,,,
358,358,Banarsidas Chaturvedi,,,,"Uttar Pradesh, India",Literature and Education,V. V. Giri,,,
359,359,Bangalore Puttaiya Radhakrishna,"Karnataka, India",Science and Engineering,R. Venkataraman,,,,,,
360,360,Bangaru Adigalar,"Tamil Nadu, India",Others,Ram Nath Kovind,,,,,,
361,361,Bannanje Govindacharya,"Karnataka, India",Literature and Education,Pratibha Patil,,,,,,
362,362,Banoo Jehangir Coyaji,,,,"Maharashtra, India",Medicine,R. Venkataraman,,,
363,363,Bansi Kaul,Delhi/India,Arts,Pranab Mukherjee,,,,,,
364,364,Banwari Lal Chouksey,"Madhya Pradesh, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,
365,365,Bapu,"Tamil Nadu, India",Arts,Pranab Mukherjee,,,,,,
366,366,Barjinder Singh Hamdard,,,,"Punjab, India",Literature and Education,Pranab Mukherjee,,,
367,367,Barkha Dutt,Delhi/India,Literature and Education,Pratibha Patil,,,,,,
368,368,Barry Gardiner,Scotland,Public Affairs,Ram Nath Kovind,,,,,,
369,369,Barun Mazumder,"West Bengal, India",Literature and Education,Pratibha Patil,,,,,,
370,370,Basanti Bisht,"Uttarakhand, India",Arts,Pranab Mukherjee,,,,,,
371,371,Basanti Devi,,,,,,,"West Bengal, India",Civil Service,V. V. Giri
372,372,Basanti Dulal Nagchaudhuri,,,,,,,"West Bengal, India",Literature and Education,Fakhruddin Ali Ahmed
373,373,Basavapatna Narayana Balakrishna Rao,"Karnataka, India",Medicine,V. V. Giri,,,,,,
374,374,Basavaraj Rajguru,Karnataka,Arts,Fakhruddin Ali Ahmed,Karnataka,Arts,R. Venkataraman,,,
375,375,Bashir Badr,"Madhya Pradesh, India",Literature and Education,K. R. Narayanan,,,,,,
376,376,Bashir Hussain Zaidi,,,,,,,Delhi/India,Literature and Education,Fakhruddin Ali Ahmed
377,377,Baua Devi,"Bihar, India",Arts,Pranab Mukherjee,,,,,,
378,378,Begum Aizaz Rasul,,,,"Uttar Pradesh, India",Social Work,K. R. Narayanan,,,
379,379,Begum Akhtar,"Uttar Pradesh, India",Arts,Zakir Husain (politician),,,,,,
380,380,Begum Parveen Sultana,"Maharashtra, India",Arts,Fakhruddin Ali Ahmed,"Maharashtra, India",Arts,Pranab Mukherjee,,,
381,381,Begum Zaffar Ali,Jammu & Kashmir/India,Social Work,Zail Singh,,,,,,
382,382,Behram Contractor,"Maharashtra, India",Literature and Education,R. Venkataraman,,,,,,
383,383,Bellary Shamanna Kesavan,"Karnataka, India",Literature and Education,Rajendra Prasad,,,,,,
384,384,Ben Kingsley,United Kingdom,Arts,Zail Singh,,,,,,
385,385,Benichandra Jamatia,"Tripura, India",Literature and Education,Ram Nath Kovind,,,,,,
386,386,Benjamin Peary Pal,Delhi,Science and Engineering,Rajendra Prasad,Punjab,Science and Engineering,Zakir Husain (politician),Punjab,Science and Engineering,Zail Singh
387,387,Benode Behari Mukherjee,,,,,,,"West Bengal, India",Arts,V. V. Giri
388,388,Benudhar Sharma,,,,"Assam, India",Literature and Education,Zail Singh,,,
389,389,Bernard Peters,,,,,Science and Engineering,Zail Singh,,,
390,390,Bertha Gyndykes Dkhar,"Meghalaya, India",Literature and Education,Pratibha Patil,,,,,,
391,391,Bettina Baumer,Jammu & Kashmir/India,Literature and Education,Pranab Mukherjee,,,,,,
392,392,Bhabani Charan Pattanayak,"Odisha, India",Public Affairs,Ram Nath Kovind,,,,,,
393,393,Bhabatosh Datta,,,,,,,"West Bengal, India",Literature and Education,R. Venkataraman
394,394,Bhabendra Nath Saikia,"Assam, India",Literature and Education,K. R. Narayanan,,,,,,
395,395,Bhagaban Sahu,"Odisha, India",Arts,R. Venkataraman,,,,,,
396,396,Bhagat Puran Singh,"Punjab, India",Social Work,Neelam Sanjiva Reddy,,,,,,
397,397,Bhagavatula Dattaguru,"Karnataka, India",Science and Engineering,A. P. J. Abdul Kalam,,,,,,
398,398,Bhagirathi Devi,"Bihar, India",Public Affairs,Ram Nath Kovind,,,,,,
399,399,Bhagwan Sahay,,,,"Uttar Pradesh, India",Civil Service,Rajendra Prasad,,,
400,400,Bhagwantrao Mandloi,,,,"Madhya Pradesh, India",Public Affairs,V. V. Giri,,,
401,401,Bhagwati Charan Verma,,,,"Uttar Pradesh, India",Literature and Education,V. V. Giri,,,
402,402,Bhagyashree Thipsay,"Maharashtra, India",Sports,Zail Singh,,,,,,
403,403,Bhajan Sopori,Delhi/India,Arts,A. P. J. Abdul Kalam,,,,,,
404,404,Bhajju Shyam,"Madhya Pradesh, India",Arts,Ram Nath Kovind,,,,,,
405,405,Bhakta B. Rath,,,,"Odisha, India",Science and Engineering,Pratibha Patil,,,
406,406,Bhakti Yadav,"Madhya Pradesh, India",Medicine,Pranab Mukherjee,,,,,,
407,407,Bhalchandra Babaji Dikshit,,,,"Maharashtra, India",Medicine,Sarvepalli Radhakrishnan,,,
408,408,Bhalchandra Dattatray Mondhe,"Madhya Pradesh, India",Arts,Pranab Mukherjee,,,,,,
409,409,Bhalchandra Digambar Garware,,,,"Maharashtra, India",Trade and Industry,V. V. Giri,,,
410,410,Bhalchandra Nemade,"Himachal Pradesh, India",Literature and Education,Pratibha Patil,,,,,,
411,411,Bhalchandra Nilkanth Purandare,,,,"Maharashtra, India",Medicine,V. V. Giri,,,
412,412,Bhalchandra Udgaonkar,,,,"Maharashtra, India",Science and Engineering,Zail Singh,,,
413,413,Bhalindra Singh,,,,Delhi/India,Sports,Zail Singh,,,
414,414,Bharat Bhushan,"Uttar Pradesh, India",Literature and Education,R. Venkataraman,,,,,,
415,415,Bharat Bhushan Tyagi,"Uttar Pradesh, India",Others,Ram Nath Kovind,,,,,,
416,416,Bharat Goenka,"Karnataka, India",Trade and Industry,Ram Nath Kovind,,,,,,
417,417,Bharat Ram,,,,Delhi/India,Trade and Industry,V. V. Giri,,,
418,418,Bharathi Vishnuvardhan,"Karnataka, India",Arts,Pranab Mukherjee,,,,,,
419,419,Bharathiraja,"Tamil Nadu, India",Arts,A. P. J. Abdul Kalam,,,,,,
420,420,Bharati Shivaji,Delhi/India,Arts,A. P. J. Abdul Kalam,,,,,,
421,421,Bhargavaram Viththal Varerkar,,,,"Maharashtra, India",Public Affairs,Rajendra Prasad,,,
422,422,Bhaurao Patil,,,,"Maharashtra, India",Social Work,Rajendra Prasad,,,
423,423,Bhavarlal Jain,"Maharashtra, India",Science and Engineering,Pratibha Patil,,,,,,
424,424,Bhawana Somaaya,"Maharashtra, India",Literature and Education,Pranab Mukherjee,,,,,,
425,425,Bhikhu Parekh,,,,"Gujarat, India",Literature and Education,A. P. J. Abdul Kalam,,,
426,426,Bhikhudan Gadhvi,"Gujarat, India",Arts,Pranab Mukherjee,,,,,,
427,427,Bhimsen Joshi,Maharashtra,Arts,V. V. Giri,Maharashtra,Arts,Zail Singh,Maharashtra,Arts,K. R. Narayanan
428,428,Bhisham Sahni,,,,Delhi/India,Literature and Education,K. R. Narayanan,,,
429,429,Bhogilal Pandya,,,,"Rajasthan, India",Social Work,Fakhruddin Ali Ahmed,,,
430,430,Bhola Nath Jha,,,,,,,"Uttar Pradesh, India",Civil Service,Sarvepalli Radhakrishnan
431,431,Bhola Nath Mullik,,,,Delhi/India,Civil Service,Sarvepalli Radhakrishnan,,,
432,432,Bholabhai Patel,"Gujarat, India",Literature and Education,Pratibha Patil,,,,,,
433,433,Bhupathiraju Somaraju,"Andhra Pradesh, India",Medicine,K. R. Narayanan,,,,,,
434,434,Bhupen Hazarika,Assam,Arts,Fakhruddin Ali Ahmed,Assam,Arts,K. R. Narayanan,Assam,Arts,Pratibha Patil
435,435,Bhupen Khakhar,"Gujarat, India",Arts,Zail Singh,,,,,,
436,436,Bhuri Bai,"Madhya Pradesh, India",Arts,Ram Nath Kovind,,,,,,
437,437,Bhuvneshwari Kumari,Delhi/India,Sports,K. R. Narayanan,,,,,,
438,438,Bibek Debroy,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,
439,439,Bijoy Chandra Bhagavati,,,,"Assam, India",Public Affairs,R. Venkataraman,,,
440,440,Bijoy Nandan Shahi,,,,Delhi/India,Medicine,A. P. J. Abdul Kalam,,,
441,441,Bikash Bhattacharjee,"West Bengal, India",Arts,R. Venkataraman,,,,,,
442,442,Bikash Sinha,West Bengal,Science and Engineering,K. R. Narayanan,West Bengal,Science and Engineering,Pratibha Patil,,,
443,443,Bilat Paswan Vihangam,"Bihar, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,
444,444,Bill Gates,,,,"Washington, United States",Social Work,Pranab Mukherjee,,,
445,445,Billy Arjan Singh,,,,"Uttar Pradesh, India",Others,A. P. J. Abdul Kalam,,,
446,446,Bimal Krishna Matilal,,,,,Literature and Education,R. Venkataraman,,,
447,447,Bimal Kumar Bachhawat,,,,Delhi/India,Science and Engineering,R. Venkataraman,,,
448,448,Bimal Kumar Roy,"West Bengal, India",Literature and Education,Pranab Mukherjee,,,,,,
449,449,Bimal Patel,"Gujarat, India",Others,Ram Nath Kovind,,,,,,
450,450,Bimala Prasad Chaliha,,,,,,,"Assam, India",Civil Service,V. V. Giri
451,451,Biman Bihari Das,Delhi/India,Arts,Pranab Mukherjee,,,,,,
452,452,Bimla Poddar,"Uttar Pradesh, India",Social Work,Pranab Mukherjee,,,,,,
453,453,Bina Agarwal,Delhi/India,Literature and Education,Pratibha Patil,,,,,,
454,454,Bina Das,"West Bengal, India",Social Work,Rajendra Prasad,,,,,,
455,455,Binapani Mohanty,"Odisha, India",Literature and Education,Ram Nath Kovind,,,,,,
456,456,Binay Ranjan Sen,,,,,,,"West Bengal, India",Civil Service,V. V. Giri
457,457,Bindeshwar Pathak,,,,"Bihar, India",Social Work,R. Venkataraman,,,
458,458,Bindeshwari Prasad Verma,,,,"Bihar, India",Public Affairs,Rajendra Prasad,,,
459,459,Bindhyabasini Devi,"Bihar, India",Arts,V. V. Giri,,,,,,
460,460,Binny Yanga,Arunachal Pradesh,Social Work,Pratibha Patil,,,,,,
461,461,Binod Kanungo,"Odisha, India",Literature and Education,Zail Singh,,,,,,
462,462,Bipan Chandra,,,,Delhi/India,Literature and Education,Pratibha Patil,,,
463,463,Bipin Ganatra,"West Bengal, India",Social Work,Pranab Mukherjee,,,,,,
464,464,Bir Bhan Bhatia,Delhi/India,Medicine,Rajendra Prasad,,,,,,
465,465,Biren De,Delhi/India,Arts,R. Venkataraman,,,,,,
466,466,Birendra Nath Datta,"Assam, India",Literature and Education,Pratibha Patil,,,,,,
467,467,Birendranath Sircar,,,,"Bihar, India",Arts,V. V. Giri,,,
468,468,Birju Maharaj,,,,,,,Delhi/India,Arts,Zail Singh
469,469,Bishamber Khanna,Delhi/India,Arts,R. Venkataraman,,,,,,
470,470,Bishambhar Nath Pande,"Uttar Pradesh, India",Social Work,Fakhruddin Ali Ahmed,,,,,,
471,471,Bishan Singh Bedi,Delhi/India,Sports,V. V. Giri,,,,,,
472,472,Bishnupada Mukerjee,"West Bengal, India",Civil Service,Rajendra Prasad,,,,,,
473,473,Bismillah Khan,Uttar Pradesh,Arts,Rajendra Prasad,Uttar Pradesh,Arts,Zakir Husain (politician),Uttar Pradesh,Arts,Neelam Sanjiva Reddy
474,474,Bisweswar Bhattacharjee,"Maharashtra, India",Science and Engineering,K. R. Narayanan,,,,,,
475,475,Bob Blackman,,Public Affairs,Ram Nath Kovind,,,,,,
476,476,Bombay Jayashri,"Tamil Nadu, India",Arts,Ram Nath Kovind,,,,,,
477,477,Bombay Sisters,"Tamil Nadu, India",Arts,Ram Nath Kovind,,,,,,
478,478,Bombayla Devi Laishram,"Manipur, India",Sports,Ram Nath Kovind,,,,,,
479,479,Boshi Sen,,,,"West Bengal, India",Science and Engineering,Rajendra Prasad,,,
480,480,Bounlap Keokangna,,Others,Ram Nath Kovind,,,,,,
481,481,Boyi Bhimanna,Andhra Pradesh,Literature and Education,V. V. Giri,Andhra Pradesh,Literature and Education,K. R. Narayanan,,,
482,482,Brahm Prakash,Punjab,Science and Engineering,Rajendra Prasad,Punjab,Science and Engineering,Zakir Husain (politician),,,
483,483,Brahma Singh,Delhi/India,Science and Engineering,Pranab Mukherjee,,,,,,
484,484,Brahmanandam,"Andhra Pradesh, India",Arts,Pratibha Patil,,,,,,
485,485,Brahmdeo Ram Pandit,"Maharashtra, India",Arts,Pranab Mukherjee,,,,,,
486,486,Brahmdev Sharma,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,
487,487,Braj Kumar Nehru,,,,,,,"Himachal Pradesh, India",Civil Service,K. R. Narayanan
488,488,Brajbir Saran Das,Delhi/India,Civil Service,V. V. Giri,,,,,,
489,489,Brajesh Mishra,,,,,,,Delhi/India,Civil Service,Pratibha Patil
490,490,Brihaspati Dev Triguna,,,,Delhi,Medicine,R. Venkataraman,Delhi,Medicine,A. P. J. Abdul Kalam
491,491,Brij Krishna Chandiwala,Delhi/India,Social Work,Sarvepalli Radhakrishnan,,,,,,
492,492,Brijendra Kumar Rao,,,,Delhi/India,Medicine,Pratibha Patil,,,
493,493,Brijmohan Lall Munjal,,,,Delhi/India,Trade and Industry,A. P. J. Abdul Kalam,,,
494,494,Buddhadev Das Gupta,,,,"West Bengal, India",Arts,Pratibha Patil,,,
495,495,Budhaditya Mukherjee,,,,"West Bengal, India",Arts,Ram Nath Kovind,,,
496,496,Bula Choudhury,"West Bengal, India",Sports,Pratibha Patil,,,,,,
497,497,Bulu Imam,"Jharkhand, India",Social Work,Ram Nath Kovind,,,,,,
498,498,Bunker Roy,Delhi/India,Social Work,Zail Singh,,,,,,
499,499,C. D. Deshmukh,,,,,,,"Andhra Pradesh, India",Public Affairs,Fakhruddin Ali Ahmed
500,500,C. D. Narasimhaiah,,,,"Karnataka, India",Literature and Education,R. Venkataraman,,,
501,501,C. G. Krishnadas Nair,"Karnataka, India",Science and Engineering,K. R. Narayanan,,,,,,
502,502,C. K. Prahalad,,,,"Tamil Nadu, India",Literature and Education,Pratibha Patil,,,
503,503,C. N. Manjunath,"Karnataka, India",Medicine,A. P. J. Abdul Kalam,,,,,,
504,504,C. N. R. Rao,Uttar Pradesh,Science and Engineering,V. V. Giri,,,,Karnataka,Science and Engineering,Zail Singh
505,505,C. Narayana Reddy,Andhra Pradesh,Literature and Education,Fakhruddin Ali Ahmed,Andhra Pradesh,Literature and Education,R. Venkataraman,,,
506,506,C. P. Krishnan Nair,,,,"Maharashtra, India",Trade and Industry,Pratibha Patil,,,
507,507,C. P. Thakur,"Bihar, India",Medicine,Neelam Sanjiva Reddy,,,,,,
508,508,C. R. Rao,,,,Delhi[E],Science and Engineering,Zakir Husain (politician),United Arab Emirates(Country),Science and Engineering,K. R. Narayanan
509,509,C. R. Vyas,,,,"Maharashtra, India",Arts,R. Venkataraman,,,
510,510,C. Rangarajan,,,,,,,"Andhra Pradesh, India",Literature and Education,K. R. Narayanan
511,511,C. S. Seshadri,,,,"Tamil Nadu, India",Science and Engineering,Pratibha Patil,,,
512,512,C. Sivaramamurti,Delhi,Literature and Education,Zakir Husain (politician),Delhi,Civil Service,Fakhruddin Ali Ahmed,,,
513,513,C. U. Velmurugendran,"Tamil Nadu, India",Medicine,Pratibha Patil,,,,,,
514,514,C. V. Chandrasekhar,,,,"Tamil Nadu, India",Arts,Pratibha Patil,,,
515,515,C. Vaidyanatha Bhagavathar,,,,"Kerala, India",Arts,V. V. Giri,,,
516,516,C. Venkata S. Ram,"Andhra Pradesh, India",Medicine,Pranab Mukherjee,,,,,,
517,517,C. Venkataraman Sundaram,,,,"Tamil Nadu, India",Science and Engineering,Zail Singh,,,
518,518,Camille Bulcke,,,,,Literature and Education,V. V. Giri,,,
519,519,Carmel Berkson,"Maharashtra, India",Arts,Pratibha Patil,,,,,,
520,520,Chaitanyamoy Ganguly,"Andhra Pradesh, India",Science and Engineering,K. R. Narayanan,,,,,,
521,521,Chakravarthi V. Narasimhan,,,,,,,"Tamil Nadu, India",Civil Service,K. R. Narayanan
522,522,Challagalla Narasimham,"Andhra Pradesh, India",Civil Service,Rajendra Prasad,,,,,,
523,523,Chamu Krishna Shastry,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,
524,524,Chanda Kochhar,,,,"Maharashtra, India",Trade and Industry,Pratibha Patil,,,
525,525,Chandeshwar Prasad Narayan Singh,,,,,,,Delhi/India,Literature and Education,Fakhruddin Ali Ahmed
526,526,Chandgi Ram,Delhi/India,Sports,V. V. Giri,,,,,,
527,527,Chandi Prasad Bhatt,Uttarakhand,Social Work,Zail Singh,Uttarakhand,Others,A. P. J. Abdul Kalam,,,
